time[us],volt(fsr)[v],signal,signal frequency[Hz]
54588025,0,0,1000
54588384,0,0,1000
54588744,0,0,1000
54589105,0,0,1000
54589465,0,0,1000
54589826,0,0,1000
54590186,0,0,1000
54590546,0,0,1000
54590907,0,0,1000
54591267,0,0,1000
54591627,0,0,1000
54591988,0,0,1000
54592348,0,0,1000
54592709,0,0,1000
54593069,0,0,1000
54593429,0,0,1000
54593790,0,0,1000
54594150,0,0,1000
54594511,0,0,1000
54594871,0,0,1000
54595231,0,0,1000
54595592,0,0,1000
54595952,0,0,1000
54596312,0,0,1000
54596673,0,0,1000
54597033,0,0,1000
54597394,0,0,1000
54597754,0,0,1000
54598114,0,0,1000
54598475,0,0,1000
54598835,0,0,1000
54599195,0,0,1000
54599556,0,0,1000
54599916,0,0,1000
54600277,0,0,1000
54600637,0,0,1000
54600997,0,0,1000
54601358,0,0,1000
54601718,0,0,1000
54602079,0,0,1000
54602439,0,0,1000
54602799,0,0,1000
54603160,0,0,1000
54603520,0,0,1000
54603880,0,0,1000
54604241,0,0,1000
54604601,0,0,1000
54604962,0,0,1000
54605322,0,0,1000
54605682,0,0,1000
54606043,0,0,1000
54606403,0,0,1000
54606763,0,0,1000
54607124,0,0,1000
54607484,0,0,1000
54607845,0,0,1000
54608205,0,0,1000
54608565,0,0,1000
54608926,0,0,1000
54609286,0,0,1000
54609647,0,0,1000
54610008,0,0,1000
54610367,0,0,1000
54610728,0,0,1000
54611088,0,0,1000
54611448,0,0,1000
54611809,0,0,1000
54612169,0,0,1000
54612530,0,0,1000
54612890,0,0,1000
54613250,0,0,1000
54613611,0,0,1000
54613971,0,0,1000
54614331,0,0,1000
54614692,0,0,1000
54615052,0,0,1000
54615413,0,0,1000
54615772,0,0,1000
54616131,0,0,1000
54616492,0,0,1000
54616852,0,0,1000
54617212,0,0,1000
54617573,0,0,1000
54617933,0,0,1000
54618294,0,0,1000
54618654,0,0,1000
54619016,0,0,1000
54619375,0,0,1000
54619735,0,0,1000
54620095,0,0,1000
54620456,0,0,1000
54620816,0,0,1000
54621177,0,0,1000
54621537,0,0,1000
54621896,0,0,1000
54622256,0,0,1000
54622616,0,0,1000
54622976,0,0,1000
54623337,0,0,1000
54623697,0,0,1000
54624058,0,0,1000
54624418,0,0,1000
54624778,0,0,1000
54625139,0,0,1000
54625499,0,0,1000
54625859,0,0,1000
54626220,0,0,1000
54626580,0,0,1000
54626941,0,0,1000
54627301,0,0,1000
54627661,0,0,1000
54628022,0,0,1000
54628382,0,0,1000
54628743,0,0,1000
54629103,0,0,1000
54629463,0,0,1000
54629824,0,0,1000
54630184,0,0,1000
54630544,0,0,1000
54630905,0,0,1000
54631265,0,0,1000
54631626,0,0,1000
54631986,0,0,1000
54632346,0,0,1000
54632707,0,0,1000
54633067,0,0,1000
54633427,0,0,1000
54633788,0,0,1000
